abu,ash,cinder,char,dust,,,,,,
adopsi,adoption,,,,,,,,,
aduh,Ouch,ow,oh man,oof,oh no,oh God,,,,
aktif,active,,,,,,,,,
aku,I,me,,,,,,,,
alam,Nature,essence,,,,,,,,
alasan,Reason,cause,argument,ground,motivation,excuse,rationale,reasoning,,
aman,safe,secure,peaceful,,,,,,,
amat,very,really,so,extremely,vastly,terribly,wonderfully,exceedingly,incredibly,disturbingly
ambil,take,pick up,grab,get,get,,,,,
ancam,threaten,intimidate,scare off,snarl,,,,,,
ancaman,threat,intimidation,scare tactics,danger,menace,,,,,
aneh,weird,bizarre,strange,odd,quaint,abnormal,peculiar,curious,uncanny,funny
anehnya,strangely,weirdly,bizarrely,oddly,,,,,,
anggun,elegant,graceful,proper,prim,,,,,,
anti,anti-,contra-,,,,,,,,
antisipasi,anticipation,,,,,,,,,
api,fire,flame,blaze,,,,,,,
apresiasi,appreciation,,,,,,,,,
asing,foreign,strange,alien,non-native,exotic,different,,,,
asyik,fun,hooray,yay,,,,,,,
badass,badass,awesome,chad,alpha,,,,,,
bagi,share,give away,,,,,,,,
bagus,good,great,awesome,amazing,beautiful,nice,fine,excellent,wonderful,
bahagia,happy,cheerful,content,,,,,,,
bahaya,danger,harm,challenge,risk,,,,,,
baik,good,nice,decent,kind,well,okay,,,,
ban,tire,,,,,,,,,
bangga,proud,,,,,,,,,
bantu,help,give a hand,lend a hand,assist,,,,,,
batal,cancel,null,not happening,abandon,call off,,,,,
batas,limit,boundary,line,border,bounds,,,,,
bebas,free,open,candid,,,,,,,
beberapa,few,some,many,a number of,several,certain,a bunch of,,,
bela,defend,protect,care,,,,,,,
belakang,behind,back,rear,hind,,,,,,
benar,right,correct,TRUE,valid,,,,,,
bencana,disaster,catastrophe,tragedy,,,,,,,
benci,hate,despise,loathe,resent,detest,abhor,can't stand,dislike,,
berani,brave,bold,daring,gutsy,tough,gallant,courageous,valiant,manly,spunky
berarti,meaningful,significant,valuable,useful,matters,counts,,,,
berat,heavy,weighty,difficult,complicated,serious,tough,weight,heft,,
berbahaya,dangerous,harmful,deadly,bad news,risky,hazardous,fatal,unsafe,threatening,challenging
berdarah,bloody,gory,bleed,,,,,,,
berdoa,pray,hope,worship,,,,,,,
berduka,mourn,,,,,,,,,
berguna,useful,handy,beneficial,of use,,,,,,
berhak,entitled,have the right to,reserve the right to,,,,,,,
berharap,hope,cross fingers,expect,,,,,,,
beri,give,berry,,,,,,,,
berkomitmen,commited,,,,,,,,,
berlebihan,excessive,too much,overkill,,,,,,,
bermanfaat,beneficial,useful,of use,fruitful,productive,advantageous,helpful,worthwhile,,
bersaing,compete,contend,face off,,,,,,,
bersama,together,with,in conjunction with,in collaboration with,together with,,,,,
bersedih,sad,grieve,mourn,heartbroken,,,,,,
bersembunyi,hiding,lurking,sheltering,lying low,,,,,,
bersorak,cheering,shouting,yelling,screaming,squealing,,,,,
besar,bug,large,huge,humongous,enormous,significant,major,substantial,grand,great
biadab,savage,wild,inhuman,uncivilized,uneducated,animalistic,barbaric,,,
biaya,cost,fee,expense,charge,price,money,,,,
bingung,confused,puzzled,perplexed,baffled,,,,,,
bodoh,dumb,stupid,idiot,foolish,ignorant,brainless,silly,braindead,dense,fool
bohong,lie,fabricate,deceive,,,,,,,
bom,bomb,explosive,,,,,,,,
buka,open,,,,,,,,,
bunga,flower,flora,interest,,,,,,,
bungkam,silence,,,,,,,,,
bunuh,kill,murder,slay,assassinate,off,snuff,cut,,,
bunuh diri,suicide,kill oneself,,,,,,,,
buruk,bad,awful,ugly,poor,horrible,nasty,terrible,rotten,foul,ill
buta,blind,sightless,eyeless,,,,,,,
cantik,beautiful,pretty,lovely,attractive,fair,,,,,
capai,achieve,tired,weary,reach,,,,,,
cari,look for,search,,,,,,,,
cedera,injury,,,,,,,,,
cegah,prevent,stop,,,,,,,,
cemas,worried,concerned,anxious,on edge,,,,,,
cepat,quick,fast,swift,rapid,prompt,snappy,speedy,nimble,,
cerdas,smart,clever,intelligent,bright,brainy,big-brained,sharp-witted,brilliant,shrewd,astute
cinta,love,,,,,,,,,
cium,kiss,smooch,smell,sniff,,,,,,
cocok,fit,suitable,compatible,appropriate,right,match,,,,
copet,thief,pickpocket,purse snatcher,,,,,,,
damai,peaceful,,,,,,,,,
dapat,can,get,able,acquire,,,,,,
daya,power,energy,,,,,,,,
diabaikan,ignored,abandoned,disregarded,left,,,,,,
diam,quiet,silent,idle,,,,,,,
diancam,threatened,intimidated,,,,,,,,
dibersihkan,cleaned,tidied,taken care of,,,,,,,
dicuri,stolen,snatched,,,,,,,,
dihukum,punished,,,,,,,,,
dikalahkan,defeated,beaten,outmatched,outplayed,,,,,,
dipercaya,trusted,,,,,,,,,
dipermalukan,humiliated,,,,,,,,,
dipertanyakan,questionable,put into question,,,,,,,,
diprovokasi,provoked,riled up,agitated,aggravated,,,,,,
disebut-sebut,said,mentioned,rumored,,,,,,,
ditakuti,feared,infamous,,,,,,,,
ditangkap,arrested,captured,apprehended,jailed,seized,secured,restrained,detained,imprisoned,incarcerated
diteror,terrorized,intimidated,,,,,,,,
ditinggalkan,left behind,left,abandoned,discarded,dropped,neglected,,,,
ditingkatkan,improved,upgraded,enhanced,,,,,,,
dituduh,accused,charged,,,,,,,,
ditunda,postponed,delayed,adjourned,,,,,,,
doa,prayer,,,,,,,,,
doktrin,doctrine,teachings,axiom,belief,,,,,,
duka,sorrow,grief,mourning,woe,,,,,,
dukung,support,endorse,approve,,,,,,,
dukungan,support,endorsement,,,,,,,,
efektif,effective,,,,,,,,,
eksklusif,exclusive,special,certain,particular,specific,,,,,
empati,empathy,feelings,understanding,compassion,sympathy,,,,,
fitnah,slander,lie,defamation,smear,denigration,vilification,,,,
fokus,focus,concentrate,point,purpose,,,,,,
gagah,strong,manly,brave,bold,lion-hearted,dashing,gallant,valiant,muscular,brawny
gagal,fail,flop,collapse,bomb,flunk,,,,,
gampang,easy,simple,piece of cake,ez,straightforward,convenient,,,,
ganggu,annoy,disturb,bother,mess with,,,,,,
gaya,style,fashion,trend,manner,way,,,,,
gelap,dark,murky,illegal,illicit,shady,shadowy,tan,,,
gentar,tremble,quiver,scared,afraid,intimidated,,,,,
gertak,bluff,snarl,threaten,scare off,,,,,,
gila,crazy,nuts,off the rocker,insane,mad,lunatic,rabid,out of mind,maniac,bonkers
guncang,shake,rattle,jolt,shudder,,,,,,
guncangan,shock,quake,,,,,,,,
ha,ha,lol,huh,what,wdym,,,,,
habis,run out,all out,finished,over,,,,,,
hal,matter,thing,case,regard,stuff,,,,,
hancur,broken,destroyed,wrecked,smashed,busted up,,,,,
hantu,ghost,spirit,spectre,apparition,spook,shadow,,,,
harapan,hope,expectation,prospect,,,,,,,
harga,price,cost,value,rate,worth,,,,,
harta,treasure,wealth,riches,,,,,,,
hasil,result,outcome,product,payoff,fruit,,,,,
hati,heart,feeling,liver,soul,,,,,,
hati-hati,careful,safely,wary,beware,cautious,mindful,conscious,,,
hebat,great,awesome,superb,terrific,impressive,splendid,excellent,extraordinary,amazing,remarkable
heboh,lively,exciting,up in arms,noisy,,,,,,
heroik,heroic,,,,,,,,,
hidup,life,existence,live,exist,,,,,,
hilang,gone,lost,disappear,vanish,missing,,,,,
hukum,law,,,,,,,,,
ikut,join,follow,take part,engage,partake,go along,go in,string along,,
ilham,revelation,inspiration,epiphany,,,,,,,
iman,faith,belief,creed,,,,,,,
indah,beautiful,lovely,picturesque,magnificent,sightly,breathtaking,,,,
